time	V(1)	V(3)
3.081428041030884e-008	1.000000e+000	9.993057e-001
3.100959291030884e-008	1.000000e+000	9.993037e-001
3.120490541030883e-008	1.000000e+000	9.993005e-001
3.140021791030883e-008	1.000000e+000	9.992963e-001
3.159553041030883e-008	1.000000e+000	9.992912e-001
3.179084291030883e-008	1.000000e+000	9.992856e-001
3.198615541030883e-008	1.000000e+000	9.992796e-001
3.218146791030883e-008	1.000000e+000	9.992732e-001
3.237678041030882e-008	1.000000e+000	9.992667e-001
3.257209291030882e-008	1.000000e+000	9.992602e-001
3.276740541030882e-008	1.000000e+000	9.992539e-001
3.315803041030882e-008	1.000000e+000	9.992419e-001
3.374396791030881e-008	1.000000e+000	9.992269e-001
3.396718219602309e-008	1.000000e+000	9.992224e-001
3.419039648173738e-008	1.000000e+000	9.992184e-001
3.441361076745166e-008	1.000000e+000	9.992151e-001
3.463682505316594e-008	1.000000e+000	9.992124e-001
3.486003933888023e-008	1.000000e+000	9.992104e-001
3.508325362459451e-008	1.000000e+000	9.992090e-001
3.530646791030880e-008	1.000000e+000	9.992082e-001
3.569709291030879e-008	1.000000e+000	9.992077e-001
3.608771791030879e-008	1.000000e+000	9.992084e-001
3.647834291030878e-008	1.000000e+000	9.992099e-001
3.686896791030878e-008	1.000000e+000	9.992120e-001
3.745490541030878e-008	1.000000e+000	9.992157e-001
3.804084291030877e-008	1.000000e+000	9.992192e-001
3.840356612459448e-008	1.000000e+000	9.992211e-001
3.876628933888019e-008	1.000000e+000	9.992227e-001
3.912901255316590e-008	1.000000e+000	9.992241e-001
3.949173576745161e-008	1.000000e+000	9.992251e-001
3.985445898173733e-008	1.000000e+000	9.992258e-001
4.021718219602303e-008	1.000000e+000	9.992262e-001
4.057990541030875e-008	1.000000e+000	9.992263e-001
4.111003933888017e-008	1.000000e+000	9.992259e-001
4.164017326745159e-008	1.000000e+000	9.992255e-001
4.217030719602301e-008	1.000000e+000	9.992251e-001
4.270044112459444e-008	1.000000e+000	9.992246e-001
4.323057505316586e-008	1.000000e+000	9.992241e-001
4.376070898173729e-008	1.000000e+000	9.992236e-001
4.429084291030871e-008	1.000000e+000	9.992231e-001
4.529530719602298e-008	1.000000e+000	9.992231e-001
4.629977148173726e-008	1.000000e+000	9.992230e-001
4.730423576745154e-008	1.000000e+000	9.992230e-001
4.830870005316581e-008	1.000000e+000	9.992231e-001
4.931316433888009e-008	1.000000e+000	9.992232e-001
5.031762862459437e-008	1.000000e+000	9.992233e-001
5.132209291030864e-008	1.000000e+000	9.992234e-001
1.075000000000000e-007	1.000000e+000	9.992234e-001
1.075195312500000e-007	9.973958e-001	9.992225e-001
1.075585937500000e-007	9.921875e-001	9.992158e-001
1.076367187500000e-007	9.817708e-001	9.991562e-001
1.077929687500000e-007	9.609375e-001	9.987861e-001
1.079882812500000e-007	9.348958e-001	9.977022e-001
1.081835937500000e-007	9.088542e-001	9.956210e-001
1.083789062500000e-007	8.828125e-001	9.922093e-001
1.085742187500000e-007	8.567708e-001	9.872207e-001
1.087695312500000e-007	8.307292e-001	9.804676e-001
1.089648437500000e-007	8.046875e-001	9.718169e-001
1.095507812500000e-007	7.265625e-001	9.338804e-001
1.099414062500001e-007	6.744792e-001	8.987188e-001
1.101367187500001e-007	6.484375e-001	8.783839e-001
1.103320312500001e-007	6.223958e-001	8.563626e-001
1.105273437500001e-007	5.963542e-001	8.327888e-001
1.107226562500001e-007	5.703125e-001	8.078077e-001
1.109179687500001e-007	5.442708e-001	7.815726e-001
1.111132812500001e-007	5.182292e-001	7.542406e-001
1.113085937500001e-007	4.921875e-001	7.259694e-001
1.115039062500001e-007	4.661458e-001	6.969144e-001
1.118945312500001e-007	4.140625e-001	6.370487e-001
1.122851562500001e-007	3.619792e-001	5.757552e-001
1.126757812500001e-007	3.098958e-001	5.139869e-001
1.130664062500001e-007	2.578125e-001	4.525103e-001
1.134570312500001e-007	2.057292e-001	3.918962e-001
1.138476562500001e-007	1.536458e-001	3.325262e-001
1.140429687500002e-007	1.276042e-001	3.033794e-001
1.142382812500002e-007	1.015625e-001	2.746102e-001
1.144335937500002e-007	7.552084e-002	2.462222e-001
1.146289062500002e-007	4.947917e-002	2.182027e-001
1.148046875000000e-007	2.604167e-002	1.933078e-001
1.150000000000000e-007	0.000000e+000	1.659074e-001
1.150004296879739e-007	0.000000e+000	1.658477e-001
1.150012890639218e-007	0.000000e+000	1.657282e-001
1.150603739197434e-007	0.000000e+000	1.575335e-001
1.151194587755650e-007	0.000000e+000	1.494186e-001
1.151785436313866e-007	0.000000e+000	1.413837e-001
1.152376284872083e-007	0.000000e+000	1.334288e-001
1.152967133430299e-007	0.000000e+000	1.255538e-001
1.153557981988515e-007	0.000000e+000	1.177588e-001
1.154148830546731e-007	0.000000e+000	1.100437e-001
1.156101955546731e-007	0.000000e+000	8.533670e-002
1.158055080546731e-007	0.000000e+000	6.210497e-002
1.160008205546731e-007	0.000000e+000	4.058850e-002
1.161961330546731e-007	0.000000e+000	2.096692e-002
1.163914455546732e-007	0.000000e+000	3.363634e-003
1.165867580546732e-007	0.000000e+000	-1.214956e-002
1.167820705546732e-007	0.000000e+000	-2.554742e-002
1.169773830546732e-007	0.000000e+000	-3.684607e-002
1.171726955546732e-007	0.000000e+000	-4.609763e-002
1.173680080546732e-007	0.000000e+000	-5.338489e-002
1.175633205546732e-007	0.000000e+000	-5.881603e-002
1.177586330546732e-007	0.000000e+000	-6.251962e-002
1.179539455546732e-007	0.000000e+000	-6.463975e-002
1.181492580546732e-007	0.000000e+000	-6.533154e-002
1.183445705546732e-007	0.000000e+000	-6.475703e-002
1.185398830546732e-007	0.000000e+000	-6.308132e-002
1.187351955546732e-007	0.000000e+000	-6.046929e-002
1.189305080546732e-007	0.000000e+000	-5.708259e-002
1.191258205546732e-007	0.000000e+000	-5.307715e-002
1.193211330546732e-007	0.000000e+000	-4.860101e-002
1.195164455546732e-007	0.000000e+000	-4.379267e-002
1.197117580546732e-007	0.000000e+000	-3.877969e-002
1.199070705546732e-007	0.000000e+000	-3.367776e-002
1.201023830546732e-007	0.000000e+000	-2.859003e-002
1.202976955546732e-007	0.000000e+000	-2.360681e-002
