2.5n 0.6272m
755648n 0.415153m
755653n 0.437831m
755658n 0.109m
755663n 0.00804702m
755721n 0m
756474n 0.0138853m
756479n 0.219606m
756484n 0.880617m
756489n 0.849193m
756494n 0.216318m
756499n 0.012789m
756557n 0m
757149n 0.0207961m
757154n 0.342224m
757159n 1.29082m
757164n 1.29994m
757169n 0.309388m
757174n 0.0197016m
757179n 0.000364845m
757231n 0m
757402n 0.0240188m
757408n 0.532416m
757412n 2.17442m
757418n 2.14895m
757422n 0.534599m
757428n 0.0429426m
757432n 0.000727841m
757485n 0m
759594n 0.0304972m
759599n 0.524262m
759604n 1.99902m
759609n 1.97905m
759614n 0.511918m
759619n 0.0370323m
759624n 0.000726124m
759677n 0m
759960n 0.0416259m
759965n 0.63199m
759970n 2.57284m
759975n 2.57936m
759980n 0.652984m
759985n 0.0358345m
759990n 0.000361965m
760042n 0m
762065n 0.0303388m
762070n 0.478558m
762075n 1.8308m
762080n 1.855m
762085n 0.475669m
762090n 0.0241988m
762148n 0m
764214n 0.0119068m
764219n 0.211797m
764224n 0.849715m
764229n 0.876415m
764234n 0.201695m
764239n 0.0122676m
764297n 0m
768158n 0.0270067m
768163n 0.433908m
768168n 1.71835m
768173n 1.70322m
768178n 0.406541m
768183n 0.0316879m
768188n 0.00036009m
768240n 0m
768483n 0m
769081n 0.0100724m
769086n 0.206484m
769091n 0.84968m
769096n 0.847162m
769101n 0.230586m
769106n 0.01331m
769111n 0.000359729m
769163n 0m
770378n 0.0229805m
770383n 0.387436m
770388n 1.57452m
770393n 1.56124m
770398n 0.379896m
770403n 0.0233395m
770461n 0m
773027n 0.0129136m
773032n 0.204465m
773037n 0.853374m
773042n 0.850504m
773047n 0.216303m
773052n 0.013631m
773057n 0.000358711m
773109n 0m
775903n 0.00573651m
775908n 0.108635m
775913n 0.41769m
775918n 0.427012m
775923n 0.110069m
775928n 0.00645358m
775986n 0m
779016n 0.0229079m
779021n 0.354357m
779026n 1.42137m
779031n 1.38593m
779036n 0.372612m
779041n 0.0221921m
779098n 0m
781238n 0.00822571m
781243n 0.198132m
781248n 0.706339m
781253n 0.691318m
781258n 0.173455m
781263n 0.0107292m
781320n 0m
783642n 0.0513213m
783648n 0.768037m
783652n 2.93672m
783658n 2.96594m
783662n 0.722775m
783668n 0.0370654m
783672n 0.00213839m
783725n 0m
784586n 0.0117514m
784591n 0.169149m
784596n 0.707221m
784601n 0.707221m
784606n 0.178408m
784611n 0.00640986m
784616n 0.000356103m
784669n 0m
786821n 0.00818632m
786826n 0.120659m
786831n 0.411451m
786836n 0.406113m
786841n 0.112117m
786846n 0.0092541m
786903n 0m
789772n 0.0284085m
789777n 0.50496m
789782n 1.95486m
789787n 1.93107m
789792n 0.52165m
789797n 0.030184m
789802n 0.000355106m
789855n 0m
791480n 0.0646541m
791485n 1.09841m
791490n 4.33501m
791495n 4.34207m
791500n 1.04754m
791505n 0.0643008m
791563n 0m
793478n 0.0165807m
793483n 0.316444m
793488n 1.25449m
793493n 1.23897m
793498n 0.327733m
793503n 0.0208141m
793560n 0m
795437n 0.0133925m
795442n 0.19983m
795447n 0.833155m
795452n 0.830336m
795457n 0.222386m
795462n 0.0144498m
795467n 0.000704869m
795519n 0m
796478n 0.0543872m
796483n 0.918618m
796488n 3.72605m
796493n 3.74745m
796498n 0.968443m
796503n 0.058247m
796508n 0.000350885m
796560n 0m
797801n 0.045467m
797806n 0.67571m
797811n 2.79797m
797816n 2.74796m
797821n 0.69005m
797826n 0.0360239m
797831n 0.00104924m
797884n 0m
801344n 0.015022m
801349n 0.236859m
801354n 0.956519m
801359n 0.984817m
801364n 0.236859m
801369n 0.0153714m
801426n 0m
802519n 0.00593606m
802524n 0.101611m
802529n 0.425999m
802534n 0.408191m
802539n 0.097072m
802544n 0.0087295m
802602n 0m
804583n 0.110768m
804588n 1.83079m
804593n 7.41768m
804598n 7.37475m
804603n 1.83633m
804608n 0.119422m
804613n 0.00173076m
804666n 0m
805402n 0.0296975m
805407n 0.510037m
805412n 2.03393m
805417n 2.06087m
805422n 0.511763m
805427n 0.0328053m
805432n 0.000345319m
805484n 0m
807056n 0.0515912m
807061n 0.849192m
807066n 3.38851m
807071n 3.39711m
807076n 0.860198m
807081n 0.0502155m
807086n 0.000343942m
807138n 0m
809717n 0.157386m
809722n 2.4971m
809727n 9.91329m
809732n 9.93131m
809737n 2.50288m
809742n 0.148548m
809747n 0.00237949m
809799n 0m
810926n 0.00747486m
810931n 0.108046m
810936n 0.398206m
810941n 0.393449m
810946n 0.104988m
810951n 0.00645556m
811008n 0m
813344n 0.00747015m
813349n 0.142612m
813354n 0.532078m
813359n 0.528683m
813364n 0.138198m
813369n 0.00916791m
813427n 0m
816063n 0.0355522m
816068n 0.603709m
816073n 2.42127m
816078n 2.39554m
816083n 0.595583m
816088n 0.040631m
816093n 0.00101578m
816146n 0m
819338n 0.00507728m
819343n 0.058558m
819348n 0.262326m
819353n 0.270788m
819358n 0.0768362m
819363n 0.00338486m
819420n 0m
821442n 0.266741m
821447n 4.50279m
821452n 17.9346m
821457n 17.8747m
821462n 4.52466m
821467n 0.285297m
821472n 0.00331356m
821524n 0m
824615n 0.0353626m
824620n 0.565802m
824625n 2.2143m
824630n 2.19347m
824635n 0.566794m
824640n 0.041642m
824645n 0.000330492m
824698n 0m
828231n 0.174944m
828236n 2.6333m
828241n 10.5521m
828246n 10.5727m
828251n 2.66234m
828256n 0.162215m
828261n 0.00293749m
828314n 0m
830795n 0.0123933m
830800n 0.165679m
830805n 0.619993m
830810n 0.654564m
830815n 0.166984m
830820n 0.0110888m
830877n 0m
834104n 0.0172593m
834109n 0.328904m
834114n 1.29119m
834119n 1.26189m
834124n 0.33444m
834129n 0.0224697m
834134n 0.000325648m
834187n 0m
834603n 0.048678m
834608n 0.762298m
834613n 2.92555m
834618n 2.92198m
834623n 0.759377m
834628n 0.0441347m
834633n 0.0016226m
834685n 0m
835725n 0.0229994m
835730n 0.398764m
835735n 1.5361m
835740n 1.50047m
835745n 0.404918m
835750n 0.0236472m
835755n 0.000323935m
835808n 0m
837406n 0.00129554m
837411n 0.0346558m
837416n 0.138947m
837421n 0.118542m
837426n 0.028502m
837431n 0.00194332m
837488n 0m
839122n 0.0219846m
839126n 0.393783m
839132n 1.53666m
839136n 1.50982m
839142n 0.395076m
839146n 0.0223079m
839204n 0m
839960n 0.0300087m
839966n 0.410441m
839970n 1.63596m
839976n 1.66596m
839980n 0.430124m
839986n 0.0222645m
840043n 0m
842664n 0m
845256n 0.0424658m
845261n 0.644708m
845266n 2.52414m
845271n 2.53572m
845276n 0.638595m
845281n 0.0476131m
845338n 0m
846839n 0.0045026m
846844n 0.0549961m
846849n 0.255362m
846854n 0.256005m
846859n 0.0691471m
846864n 0.00321614m
846922n 0m
849648n 0m
852114n 0.0205465m
852119n 0.374974m
852124n 1.51499m
852129n 1.52076m
852134n 0.400657m
852139n 0.0205465m
852196n 0m
853459n 0.019866m
853464n 0.410457m
853469n 1.62356m
853474n 1.67355m
853479n 0.413661m
853484n 0.0240314m
853489n 0.000320419m
853541n 0m
854629n 0.0080069m
854634n 0.0906381m
854639n 0.376965m
854644n 0.379527m
854649n 0.100246m
854654n 0.00544469m
854712n 0m
855967n 0.0227025m
855972n 0.373472m
855977n 1.38229m
855982n 1.37782m
855987n 0.333503m
855992n 0.0268593m
855997n 0.000319753m
856050n 0m
857954n 0.00958549m
857959n 0.1588m
857964n 0.62721m
857969n 0.630725m
857974n 0.160717m
857979n 0.010544m
858036n 0m
860082n 0.00542936m
860087n 0.091341m
860092n 0.380055m
860097n 0.385485m
860102n 0.0907023m
860107n 0.00447124m
860112n 0.000319374m
860164n 0m
862369n 0.0963473m
862374n 1.61825m
862379n 6.47365m
862384n 6.53926m
862389n 1.6509m
862394n 0.0995166m
862399n 0.000950796m
862452n 0m
864464n 0.0470706m
864469n 0.689947m
864474n 2.73294m
864479n 2.75442m
864484n 0.686156m
864489n 0.0382251m
864494n 0.00031591m
864547n 0m
867188n 0.00505234m
867193n 0.093784m
867198n 0.357453m
867203n 0.381452m
867208n 0.102626m
867213n 0.00694696m
867271n 0m
870457n 0.00631172m
870462n 0.121501m
870467n 0.498942m
870472n 0.502413m
870477n 0.125919m
870482n 0.0069429m
870487n 0.000315586m
870539n 0m
873169n 0.188594m
873174n 2.99914m
873179n 11.7498m
873184n 11.7862m
873189n 2.97923m
873194n 0.167432m
873199n 0.00186727m
873252n 0m
875153n 0.0211288m
875158n 0.353907m
875163n 1.33018m
875168n 1.35411m
875173n 0.334643m
875178n 0.0233038m
875183n 0.000310718m
875235n 0m
877234n 0.0288344m
877239n 0.46135m
877244n 1.84385m
877249n 1.81285m
877254n 0.475922m
877259n 0.0275942m
877264n 0.000310047m
877316n 0m
880005n 0.151706m
880010n 2.45027m
880015n 9.77321m
880020n 9.86086m
880025n 2.4374m
880030n 0.147415m
880035n 0.00183885m
880088n 0m
883457n 0.00949535m
883462n 0.11762m
883467n 0.484569m
883472n 0.481812m
883477n 0.124971m
883482n 0.00643233m
883539n 0m
886680n 0.0372418m
886685n 0.717972m
886690n 2.91951m
886695n 2.89326m
886700n 0.714004m
886705n 0.0430417m
886710n 0.000610521m
886762n 0m
888656n 0m
891288n 0.0219446m
891293n 0.326425m
891298n 1.31119m
891303n 1.35355m
891308n 0.32033m
891313n 0.0185919m
891371n 0m
893144n 0.0124838m
893148n 0.202177m
893154n 0.834286m
893158n 0.84951m
893164n 0.221055m
893168n 0.0115704m
893226n 0m
894226n 0.00273997m
894231n 0.0295308m
894236n 0.117819m
894241n 0.122994m
894246n 0.0298352m
894251n 0.0015222m
894309n 0m
895243n 0.0400786m
895248n 0.570513m
895253n 2.26839m
895258n 2.28661m
895263n 0.56353m
895268n 0.0382569m
895273n 0.000910878m
895326n 0m
897188n 0.0218242m
897193n 0.369799m
897198n 1.41463m
897203n 1.43494m
897208n 0.37192m
897213n 0.0242491m
897270n 0m
900825n 0.159285m
900830n 2.60455m
900835n 10.4224m
900840n 10.3415m
900845n 2.64587m
900850n 0.168866m
900855n 0.00179645m
900907n 0m
900871n 0.0140526m
900876n 0.301384m
900881n 1.18042m
900886n 1.18551m
900891n 0.291817m
900896n 0.0167436m
900953n 0m
901826n 0.0011958m
901831n 0.0266066m
901836n 0.116292m
901841n 0.120178m
901846n 0.0316888m
901851n 0.00269056m
901909n 0m
904537n 1.06635m
904542n 17.1227m
904547n 68.7m
904552n 68.5561m
904557n 17.2444m
904562n 1.06067m
904567n 0.0132583m
904619n 0m
907814n 0.02885m
907819n 0.433696m
907824n 1.66337m
907829n 1.67614m
907834n 0.430858m
907839n 0.0227016m
907844n 0.00047295m
907897n 0m
911678n 0.389402m
911683n 6.24994m
911688n 24.7042m
911693n 24.7637m
911698n 6.22532m
911703n 0.386614m
911708n 0.00650552m
911713n 0.00046468m
911760n 0m
913954n 0.0477384m
913959n 0.902394m
913964n 3.64526m
913969n 3.674m
913974n 0.938545m
913979n 0.0602523m
913984n 0.000463479m
914037n 0m
916092n 0.031001m
916097n 0.601975m
916102n 2.38106m
916107n 2.36718m
916112n 0.597348m
916117n 0.0360908m
916122n 0.000462702m
916175n 0m
918577n 0.0387919m
918582n 0.711185m
918587n 2.72929m
918592n 2.68819m
918597n 0.716727m
918602n 0.041101m
918607n 0.00138543m
918660n 0m
920888n 0.0193785m
920893n 0.319284m
920898n 1.2453m
920903n 1.30436m
920908n 0.320668m
920913n 0.0207627m
920971n 0m
924380n 0.110167m
924385n 1.80721m
924390n 7.26784m
924395n 7.26692m
924400n 1.80032m
924405n 0.104659m
924410n 0.00183612m
924463n 0m
926567n 0.0032124m
926572n 0.0826045m
926577n 0.365295m
926582n 0.366213m
926587n 0.095454m
926592n 0.00458914m
926649n 0m
927697n 0m
930667n 0.00917475m
930672n 0.143585m
930677n 0.57067m
930682n 0.508281m
930687n 0.136704m
930692n 0.00779854m
930749n 0m
933184n 0.0316044m
933189n 0.542313m
933194n 2.19628m
933199n 2.14314m
933204n 0.545977m
933209n 0.0366428m
933267n 0m
936312n 0.0789778m
936317n 1.14449m
936322n 4.70763m
936327n 4.69119m
936332n 1.17782m
936337n 0.0680214m
936342n 0.000913038m
936395n 0m
938610n 0.0537393m
938615n 0.834326m
938620n 3.38421m
938625n 3.43158m
938630n 0.889887m
938635n 0.0587489m
938693n 0m
940233n 0.01229m
940238n 0.187082m
940243n 0.709636m
940248n 0.722837m
940253n 0.175702m
940258n 0.01229m
940263n 0.000455187m
940315n 0m
943840n 0.0291024m
943845n 0.345591m
943850n 1.44375m
943855n 1.44557m
943860n 0.350139m
943865n 0.0222815m
943870n 0.000454725m
943922n 0m
945312n 0.0227104m
945317n 0.383351m
945322n 1.63287m
945327n 1.59926m
945332n 0.42423m
945337n 0.0245272m
945342n 0.000908414m
945395n 0m
947462n 0.0235889m
947467n 0.447282m
947472n 1.8168m
947477n 1.79185m
947482n 0.427322m
947487n 0.0285789m
947492n 0.000907266m
947544n 0m
949446n 0.0145034m
949451n 0.32814m
949456n 1.26905m
949461n 1.22418m
949466n 0.312277m
949471n 0.0240213m
949528n 0m
951636n 0.0425125m
951641n 0.738541m
951646n 3.03738m
951651n 3.05592m
951656n 0.771556m
951661n 0.0416079m
951666n 0.00045226m
951718n 0m
955082n 0.00768552m
955087n 0.135627m
955092n 0.563303m
955097n 0.511313m
955102n 0.128845m
955107n 0.00904178m
955112n 0.000452089m
955164n 0m
956319n 0.0221217m
956324n 0.491644m
956329n 1.9589m
956334n 1.93949m
956339n 0.519183m
956344n 0.0329568m
956349n 0.000902927m
956402n 0m
957559n 0.0266029m
957564n 0.441427m
957569n 1.79998m
957574n 1.75804m
957579n 0.449994m
957584n 0.0320136m
957589n 0.000450896m
957641n 0m
958555n 0.0620676m
958560n 0.888286m
958565n 3.54235m
958570n 3.56844m
958575n 0.884688m
958580n 0.0485747m
958585n 0.000449765m
958638n 0m
960125n 0.0175211m
960130n 0.426795m
960135n 1.57195m
960140n 1.61059m
960145n 0.393101m
960150n 0.0229122m
960155n 0.000449258m
960207n 0m
963608n 0.0881616m
963613n 1.36091m
963618n 5.53225m
963623n 5.42037m
963628n 1.39m
963633n 0.0787637m
963638n 0.0022376m
963691n 0m
966088n 0.0268211m
966092n 0.405893m
966098n 1.62491m
966102n 1.5373m
966108n 0.406787m
966112n 0.0205629m
966118n 0.000447019m
966170n 0m
968510n 0.0214329m
968515n 0.410797m
968520n 1.59764m
968525n 1.54897m
968530n 0.414369m
968535n 0.025005m
968540n 0.000446518m
968592n 0m
971607n 0.0169529m
971612n 0.318536m
971617n 1.24827m
971622n 1.19964m
971627n 0.322106m
971632n 0.0169529m
971637n 0.00044613m
971689n 0m
973649n 0.0138231m
973654n 0.182822m
973659n 0.678672m
973664n 0.720141m
973669n 0.182376m
973674n 0.00535089m
973731n 0m
974546n 0.111355m
974551n 1.78834m
974556n 7.18796m
974561n 7.13695m
974566n 1.84513m
974571n 0.116679m
974576n 0.000887293m
974628n 0m
977030n 0.0967637m
977035n 1.43511m
977040n 5.73469m
977045n 5.79169m
977050n 1.43113m
977055n 0.0901361m
977112n 0m
979984n 0.0291186m
979989n 0.507811m
979994n 2.11198m
979999n 2.05419m
980004n 0.549724m
980009n 0.041472m
980066n 0m
983203n 0m
985942n 0.0646563m
985947n 1.07805m
985952n 4.27963m
985957n 4.40147m
985962n 1.1062m
985967n 0.0650962m
985972n 0.000879678m
986024n 0m
986177n 0.0390834m
986182n 0.551998m
986187n 2.26859m
986192n 2.23961m
986197n 0.577468m
986202n 0.031618m
986207n 0.000439139m
986260n 0m
989972n 0.0158013m
989977n 0.175131m
989982n 0.6856m
989987n 0.691306m
989992n 0.178203m
989997n 0.00965633m
990054n 0m
991649n 0.0464181m
991654n 0.815819m
991659n 3.30926m
991664n 3.27773m
991669n 0.807061m
991674n 0.0617448m
991679n 0.00131372m
991731n 0m
992970n 0.0458738m
992975n 0.798203m
992980n 3.29461m
992985n 3.29024m
992990n 0.815242m
992995n 0.0554854m
993000n 0.00131068m
993053n 0m
994426n 0.0087336m
994431n 0.179039m
994436n 0.685588m
994441n 0.678601m
994446n 0.182532m
994451n 0.012227m
994509n 0m
996843n 0.327372m
996848n 5.28356m
996853n 20.96m
996858n 21.0869m
996863n 5.3541m
996868n 0.3235m
996873n 0.00387168m
996925n 0m
998946n 0.0141877m
998951n 0.213675m
998956n 0.821594m
998961n 0.875765m
998966n 0.209375m
998971n 0.0146176m
998976n 0.000429929m
999029n 0m
1.00086e+06n 0.242387m
1.00086e+06n 3.92709m
1.00087e+06n 15.3342m
1.00087e+06n 15.4813m
1.00088e+06n 3.88074m
1.00088e+06n 0.250041m
1.00089e+06n 0.00467764m
1.00094e+06n 0m
1.00313e+06n 0.0437013m
1.00313e+06n 0.811657m
1.00314e+06n 3.18468m
1.00314e+06n 3.19317m
1.00315e+06n 0.770501m
1.00315e+06n 0.0568542m
1.00316e+06n 0.000424285m
1.00321e+06n 0m
1.00364e+06n 0.00721114m
1.00364e+06n 0.0793225m
1.00365e+06n 0.333409m
1.00365e+06n 0.329167m
1.00366e+06n 0.0937448m
1.00366e+06n 0.0055144m
1.00372e+06n 0m
1.0056e+06n 0m
1.00636e+06n 0.0343184m
1.00637e+06n 0.425378m
1.00637e+06n 1.64982m
1.00638e+06n 1.66042m
1.00638e+06n 0.43936m
1.00639e+06n 0.0275394m
1.00645e+06n 0m
1.00883e+06n 0.0279301m
1.00883e+06n 0.42276m
1.00884e+06n 1.68427m
1.00884e+06n 1.64915m
1.00885e+06n 0.42403m
1.00885e+06n 0.0236983m
1.00891e+06n 0m
1.0096e+06n 0.0109976m
1.0096e+06n 0.183152m
1.00961e+06n 0.669584m
1.00961e+06n 0.654356m
1.00962e+06n 0.162003m
1.00962e+06n 0.0114206m
1.00968e+06n 0m
1.01098e+06n 0.103553m
1.01099e+06n 1.71284m
1.01099e+06n 6.81096m
1.011e+06n 6.78065m
1.011e+06n 1.74568m
1.01101e+06n 0.10187m
1.01101e+06n 0.00126285m
1.01106e+06n 0m
1.01254e+06n 0.0012627m
1.01255e+06n 0.037881m
1.01255e+06n 0.169623m
1.01256e+06n 0.171727m
1.01256e+06n 0.0374601m
1.01257e+06n 0.0029463m
1.01263e+06n 0m
1.01461e+06n 0.163801m
1.01461e+06n 2.58279m
1.01462e+06n 10.1849m
1.01462e+06n 10.2125m
1.01463e+06n 2.60285m
1.01463e+06n 0.152937m
1.01464e+06n 0.00459646m
1.01469e+06n 0m
1.01759e+06n 0.0283715m
1.0176e+06n 0.523204m
1.0176e+06n 2.12327m
1.01761e+06n 2.14622m
1.01761e+06n 0.566596m
1.01762e+06n 0.0350472m
1.01762e+06n 0.000417228m
1.01768e+06n 0m
1.02025e+06n 0.0020859m
1.02026e+06n 0.0379633m
1.02026e+06n 0.169792m
1.02027e+06n 0.166037m
1.02027e+06n 0.0383805m
1.02028e+06n 0.00292026m
1.02034e+06n 0m
1.02353e+06n 0.0137573m
1.02353e+06n 0.249716m
1.02354e+06n 0.99553m
1.02354e+06n 0.974686m
1.02355e+06n 0.250133m
1.02355e+06n 0.0166756m
1.02356e+06n 0.000416889m
1.02361e+06n 0m
1.02499e+06n 0.016662m
1.025e+06n 0.295334m
1.025e+06n 1.13052m
1.02501e+06n 1.15593m
1.02501e+06n 0.297m
1.02502e+06n 0.0199944m
1.02502e+06n 0.00041655m
1.02507e+06n 0m
1.02737e+06n 0.0129041m
1.02738e+06n 0.246426m
1.02738e+06n 0.988201m
1.02739e+06n 0.978627m
1.02739e+06n 0.252254m
1.0274e+06n 0.0187317m
1.02746e+06n 0m
1.03074e+06n 0.00956954m
1.03074e+06n 0.178493m
1.03075e+06n 0.640327m
1.03075e+06n 0.666539m
1.03076e+06n 0.159354m
1.03076e+06n 0.00956954m
1.03077e+06n 0.000416067m
1.03082e+06n 0m
1.03404e+06n 0.0390514m
1.03405e+06n 0.562922m
1.03405e+06n 2.06723m
1.03406e+06n 2.16278m
1.03406e+06n 0.535918m
1.03407e+06n 0.0315735m
1.03407e+06n 0.000830881m
1.03413e+06n 0m
1.03491e+06n 0.0261394m
1.03492e+06n 0.468021m
1.03492e+06n 1.80445m
1.03493e+06n 1.78205m
1.03493e+06n 0.455988m
1.03494e+06n 0.0261394m
1.03494e+06n 0.000414912m
1.035e+06n 0m
1.03724e+06n 0.0364532m
1.03724e+06n 0.552598m
1.03725e+06n 2.26921m
1.03725e+06n 2.29407m
1.03726e+06n 0.606035m
1.03726e+06n 0.0393529m
1.03727e+06n 0.000828482m
1.03732e+06n 0m
1.03813e+06n 0.228307m
1.03813e+06n 3.73653m
1.03814e+06n 14.9465m
1.03814e+06n 14.8645m
1.03815e+06n 3.69021m
1.03815e+06n 0.237734m
1.03816e+06n 0.00327909m
1.03816e+06n 0.000409887m
1.03821e+06n 0m
1.04055e+06n 0.0796549m
1.04055e+06n 1.23771m
1.04056e+06n 4.81401m
1.04056e+06n 4.7989m
1.04057e+06n 1.23771m
1.04057e+06n 0.0837397m
1.04058e+06n 0.00163395m
1.04063e+06n 0m
1.04189e+06n 0.0313927m
1.0419e+06n 0.69227m
1.0419e+06n 2.72056m
1.04191e+06n 2.73687m
1.04191e+06n 0.707763m
1.04192e+06n 0.040362m
1.04192e+06n 0.000815395m
1.04198e+06n 0m
1.04405e+06n 0m
1.0468e+06n 0.00815117m
1.04681e+06n 0.12349m
1.04681e+06n 0.48907m
1.04682e+06n 0.469915m
1.04682e+06n 0.126751m
1.04683e+06n 0.0048907m
1.04689e+06n 0m
1.04953e+06n 0m
1.04944e+06n 0.0569159m
1.04944e+06n 0.877725m
1.04945e+06n 3.56253m
1.04945e+06n 3.50399m
1.04946e+06n 0.887482m
1.04946e+06n 0.0540701m
1.04947e+06n 0.000813084m
1.04952e+06n 0m
1.05175e+06n 0.0097537m
1.05175e+06n 0.128017m
1.05176e+06n 0.476712m
1.05176e+06n 0.473054m
1.05177e+06n 0.125172m
1.05177e+06n 0.00650246m
1.05183e+06n 0m
1.05298e+06n 0.00852965m
1.05298e+06n 0.191308m
1.05299e+06n 0.82169m
1.05299e+06n 0.796913m
1.053e+06n 0.196588m
1.053e+06n 0.0154346m
1.05301e+06n 0.000406174m
1.05306e+06n 0m
1.0538e+06n 0.0211043m
1.0538e+06n 0.26908m
1.05381e+06n 1.12056m
1.05381e+06n 1.13679m
1.05382e+06n 0.274762m
1.05382e+06n 0.0186692m
1.05388e+06n 0m
1.05649e+06n 0.00486857m
1.0565e+06n 0.106703m
1.0565e+06n 0.499435m
1.05651e+06n 0.479555m
1.05651e+06n 0.117252m
1.05652e+06n 0.00933143m
1.05658e+06n 0m
1.05845e+06n 0.027146m
1.05845e+06n 0.505646m
1.05846e+06n 1.92048m
1.05846e+06n 1.91076m
1.05847e+06n 0.467155m
1.05847e+06n 0.0291719m
1.05848e+06n 0.00162066m
1.05853e+06n 0m
1.0602e+06n 0.0157907m
1.06021e+06n 0.251437m
1.06021e+06n 0.92477m
1.06022e+06n 0.983479m
1.06022e+06n 0.239695m
1.06023e+06n 0.0141712m
1.06028e+06n 0m
1.06307e+06n 0m
1.06507e+06n 0.0645929m
1.06507e+06n 1.05286m
1.06508e+06n 4.14525m
1.06508e+06n 4.14808m
1.06509e+06n 1.02138m
1.06509e+06n 0.0633818m
1.0651e+06n 0.000807411m
1.06515e+06n 0m
1.06543e+06n 0.0145252m
1.06543e+06n 0.190442m
1.06544e+06n 0.80494m
1.06544e+06n 0.800502m
1.06545e+06n 0.193266m
1.06545e+06n 0.0121044m
1.06546e+06n 0.00161391m
1.06551e+06n 0m
1.06698e+06n 0.0426871m
1.06698e+06n 0.67494m
1.06699e+06n 2.71426m
1.06699e+06n 2.6768m
1.067e+06n 0.685813m
1.067e+06n 0.0507413m
1.06706e+06n 0m
1.0685e+06n 0.00966067m
1.0685e+06n 0.156986m
1.06851e+06n 0.648875m
1.06851e+06n 0.627944m
1.06852e+06n 0.155778m
1.06852e+06n 0.0108683m
1.06858e+06n 0m
1.06988e+06n 0.0233205m
1.06988e+06n 0.414139m
1.06988e+06n 1.58539m
1.06989e+06n 1.58539m
1.0699e+06n 0.384385m
1.0699e+06n 0.0281454m
1.06996e+06n 0m
1.07208e+06n 0.0433223m
1.07208e+06n 0.833554m
1.07209e+06n 3.31095m
1.07209e+06n 3.31215m
1.0721e+06n 0.868853m
1.0721e+06n 0.0533506m
1.07211e+06n 0.0012034m
1.07216e+06n 0m
1.07492e+06n 0.0212387m
1.07492e+06n 0.367869m
1.07493e+06n 1.40816m
1.07493e+06n 1.42459m
1.07494e+06n 0.361859m
1.07494e+06n 0.0228416m
1.075e+06n 0m
1.07711e+06n 0.00320548m
1.07712e+06n 0.0392671m
1.07712e+06n 0.148654m
1.07713e+06n 0.174298m
1.07713e+06n 0.0332568m
1.07714e+06n 0.00200342m
1.0772e+06n 0m
1.07834e+06n 0.0040064m
1.07834e+06n 0.0440704m
1.07835e+06n 0.148237m
1.07835e+06n 0.155448m
1.07836e+06n 0.0452723m
1.07836e+06n 0.00360576m
1.07842e+06n 0m
1.07971e+06n 0.00240357m
1.07971e+06n 0.0508756m
1.07972e+06n 0.153027m
1.07972e+06n 0.154229m
1.07973e+06n 0.0376559m
1.07973e+06n 0.00240357m
1.07979e+06n 0m
1.08243e+06n 0.02081m
1.08244e+06n 0.358173m
1.08244e+06n 1.42429m
1.08245e+06n 1.41788m
1.08245e+06n 0.355371m
1.08246e+06n 0.0240116m
1.08246e+06n 0.000400193m
1.08252e+06n 0m
1.08517e+06n 0.013199m
1.08518e+06n 0.203185m
1.08518e+06n 0.79834m
1.08518e+06n 0.79154m
1.08519e+06n 0.180386m
1.0852e+06n 0.012799m
1.08525e+06n 0m
1.08785e+06n 0.0211819m
1.08786e+06n 0.272966m
1.08786e+06n 1.10026m
1.08787e+06n 1.10545m
1.08787e+06n 0.275764m
1.08788e+06n 0.0211819m
1.08788e+06n 0.000399658m
1.08794e+06n 0m
1.09293e+06n 0.183945m
1.09294e+06n 2.84639m
1.09294e+06n 11.4419m
1.09295e+06n 11.3773m
1.09295e+06n 2.90229m
1.09296e+06n 0.181963m
1.09296e+06n 0.00396434m
1.09302e+06n 0m
1.09577e+06n 0.0529933m
1.09578e+06n 0.860548m
1.09578e+06n 3.38287m
1.09579e+06n 3.47857m
1.09579e+06n 0.878344m
1.0958e+06n 0.0454793m
1.09586e+06n 0m
1.09765e+06n 0.00553478m
1.09766e+06n 0.115835m
1.09766e+06n 0.492991m
1.09767e+06n 0.453061m
1.09767e+06n 0.114649m
1.09768e+06n 0.00355807m
1.09774e+06n 0m
1.10043e+06n 0.00474305m
1.10043e+06n 0.0818177m
1.10044e+06n 0.320551m
1.10044e+06n 0.297627m
1.10045e+06n 0.0818177m
1.10045e+06n 0.00316203m
1.10046e+06n 0.000790509m
1.10051e+06n 0m
1.10305e+06n 0.00237126m
1.10305e+06n 0.0403115m
1.10306e+06n 0.14939m
1.10306e+06n 0.154527m
1.10307e+06n 0.045054m
1.10307e+06n 0.0035569m
1.10313e+06n 0m
1.10568e+06n 0.00355611m
1.10568e+06n 0.086137m
1.10568e+06n 0.32005m
1.10569e+06n 0.299109m
1.1057e+06n 0.0750735m
1.1057e+06n 0.00592686m
1.1057e+06n 0.000395124m
1.10576e+06n 0m
1.10855e+06n 0.71624m
1.10855e+06n 11.0316m
1.10856e+06n 43.1636m
1.10856e+06n 43.3992m
1.10857e+06n 10.9271m
1.10857e+06n 0.67181m
1.10858e+06n 0.00766032m
1.10863e+06n 0m
1.1106e+06n 0.669283m
1.11061e+06n 10.8774m
1.11061e+06n 43.7202m
1.11062e+06n 43.7028m
1.11062e+06n 10.9673m
1.11063e+06n 0.66223m
1.11063e+06n 0.0103937m
1.11069e+06n 0m
