2.5n 0.6272m
115451n 0.00731176m
115503n 0m
116631n 0.0400787m
116636n 0.695912m
116641n 2.97676m
116646n 2.78547m
116651n 0.737813m
116656n 0.0491875m
116661n 0.00182176m
116714n 0m
118799n 0.106583m
118804n 1.75049m
118809n 7.22957m
118814n 7.16815m
118819n 1.69629m
118824n 0.106583m
118829n 0.00722596m
118882n 0m
122173n 0.0772903m
122178n 1.08206m
122183n 4.04246m
122188n 4.42892m
122193n 1.06948m
122198n 0.0844801m
122255n 0m
122804n 0.0179446m
122809n 0.376836m
122814n 1.38711m
122819n 1.40506m
122824n 0.380425m
122829n 0.0215335m
122887n 0m
125862n 0.154192m
125867n 2.70456m
125872n 10.4142m
125877n 10.485m
125882n 2.69924m
125887n 0.125835m
125892n 0.00177232m
125945n 0m
126686n 0.158929m
126691n 3.16984m
126696n 12.4785m
126701n 12.2515m
126706n 3.17333m
126711n 0.199097m
126716n 0.00349293m
126768n 0m
127317n 0.0243913m
127322n 0.494794m
127327n 2.02622m
127332n 2.11333m
127337n 0.545319m
127342n 0.022649m
127399n 0m
127107n 0.742016m
127112n 11.4584m
127117n 45.4394m
127122n 45.502m
127127n 11.6101m
127132n 0.654623m
127137n 0.00494677m
127189n 0m
128397n 0.0949835m
128402n 1.42148m
128407n 5.79727m
128412n 5.80709m
128417n 1.51646m
128422n 0.0998964m
128479n 0m
130969n 0.126392m
130974n 2.17945m
130979n 9.13748m
130984n 8.77775m
130989n 2.33177m
130994n 0.129633m
130999n 0.00162041m
131052n 0m
133645n 0.218384m
133650n 3.65354m
133655n 13.6721m
133660n 13.8012m
133665n 3.50689m
133670n 0.213601m
133728n 0m
135702n 0.154615m
135707n 2.21983m
135712n 8.65528m
135717n 8.72786m
135722n 2.17092m
135727n 0.15146m
135732n 0.00315541m
135784n 0m
138706n 0.0330592m
138711n 0.4707m
138716n 1.84817m
138721n 1.83085m
138726n 0.505333m
138731n 0.0346334m
138789n 0m
141073n 0.0172915m
141078n 0.295527m
141083n 1.22455m
141088n 1.26385m
141093n 0.317534m
141098n 0.0220073m
141155n 0m
143041n 0.163386m
143046n 2.26096m
143051n 8.59101m
143056n 8.53499m
143061n 2.0789m
143066n 0.150938m
143071n 0.00466818m
143123n 0m
144208n 0.16448m
144213n 2.61937m
144218n 10.5098m
144223n 10.1547m
144228n 2.5087m
144233n 0.172165m
144238n 0.00153719m
144290n 0m
145392n 0.311082m
145397n 5.82681m
145402n 23.0201m
145407n 23.0231m
145412n 5.79092m
145417n 0.34249m
145422n 0.0104691m
145474n 0m
147321n 0.0905397m
147326n 1.64307m
147331n 6.41348m
147336n 6.42387m
147341n 1.65495m
147346n 0.10093m
147404n 0m
149936n 0.23216m
149941n 3.56124m
149946n 13.896m
149951n 13.6857m
149956n 3.44443m
149961n 0.216098m
149966n 0.00292025m
150019n 0m
151365n 0.0306004m
151370n 0.469206m
151375n 1.65388m
151380n 1.76462m
151385n 0.425491m
151390n 0.0262289m
151395n 0.00145716m
151448n 0m
153145n 0.1954m
153150n 2.96692m
153155n 11.7412m
153160n 12.1119m
153165n 2.97554m
153170n 0.175285m
153175n 0.00431029m
153227n 0m
154798n 0.0229576m
154802n 0.298449m
154808n 1.16079m
154812n 1.0704m
154818n 0.292709m
154822n 0.0243924m
154880n 0m
155361n 0.0114635m
155366n 0.290887m
155371n 1.18074m
155376n 1.04748m
155381n 0.312381m
155386n 0.0214941m
155391n 0.00143294m
155444n 0m
157674n 0.0924039m
157680n 1.74004m
157684n 6.64455m
157690n 6.82368m
157694n 1.66043m
157700n 0.0938255m
157704n 0.0028432m
157757n 0m
159443n 0.0524263m
159448n 0.69146m
159453n 2.76867m
159458n 2.83952m
159463n 0.69146m
159468n 0.0396739m
159526n 0m
160495n 0.0268686m
160500n 0.438382m
160505n 1.71393m
160510n 1.6206m
160515n 0.411514m
