time	V(-1)
2.039518853208181e-008	7.216890e-004
2.042217976961521e-008	6.442892e-004
2.045202598995872e-008	5.542164e-004
2.048302492663616e-008	4.618031e-004
2.051195461574298e-008	3.813279e-004
2.054084272908998e-008	3.117137e-004
2.057595014764487e-008	2.444494e-004
2.060535516757104e-008	2.057653e-004
2.063631343293512e-008	1.856866e-004
2.066709321107122e-008	1.854645e-004
2.069344770972347e-008	2.015406e-004
2.072189955193632e-008	2.343737e-004
2.074770299172539e-008	2.759748e-004
2.077678383485064e-008	3.335793e-004
2.080343759965950e-008	3.931082e-004
2.083327296124726e-008	4.636086e-004
2.086386916021195e-008	5.349592e-004
2.089881276664268e-008	6.093662e-004
2.093267112371370e-008	6.681103e-004
2.096828319310722e-008	7.106867e-004
2.099746690509739e-008	7.262958e-004
2.103006249829303e-008	7.215840e-004
2.105297180090148e-008	7.027586e-004
2.108057951158998e-008	6.614591e-004
2.110834992960953e-008	6.028186e-004
2.113492455699717e-008	5.307521e-004
2.116376903483865e-008	4.373059e-004
2.119223783662987e-008	3.331082e-004
2.121725508783351e-008	2.337991e-004
2.124565787088057e-008	1.160135e-004
2.127440911658365e-008	-4.226809e-006
2.130181843973244e-008	-1.153486e-004
2.133704173749522e-008	-2.469709e-004
2.137403032515963e-008	-3.665470e-004
2.140743408566873e-008	-4.511996e-004
2.144345687449852e-008	-5.130872e-004
2.147677219226469e-008	-5.411334e-004
2.151035034241836e-008	-5.392170e-004
2.154377987668966e-008	-5.109073e-004
2.156591196670220e-008	-4.770123e-004
2.159112173691318e-008	-4.241079e-004
2.161712133585163e-008	-3.579916e-004
2.164619586127173e-008	-2.732943e-004
2.167967635073382e-008	-1.677067e-004
2.171483144044921e-008	-5.428810e-005
2.174641655478739e-008	4.362882e-005
2.178020844552092e-008	1.380639e-004
2.180988388432596e-008	2.064277e-004
2.184606794853262e-008	2.664919e-004
2.188101217200175e-008	2.987037e-004
2.191253278619214e-008	3.018939e-004
2.194663436843624e-008	2.784900e-004
