27002.5n 0.219339m
27007.5n 3.1505m
27012.5n 12.8413m
27017.5n 12.7366m
27022.5n 3.22528m
27027.5n 0.224324m
27032.5n 0.00498497m
27085n 0m
27502.5n 0.0546527m
27507.5n 1.04337m
27512.5n 4.012m
27517.5n 3.77849m
27522.5n 0.968842m
27527.5n 0.0745263m
27532.5n 0.00248421m
27585n 0m
28002.5n 0.108584m
28007.5n 1.96933m
28012.5n 7.84769m
28017.5n 7.65767m
28022.5n 2.01375m
28027.5n 0.145602m
28085n 0m
28502.5n 0.32021m
28507.5n 5.13306m
28512.5n 19.8918m
28517.5n 20.1805m
28522.5n 5.11607m
28527.5n 0.2911m
28532.5n 0.00485166m
28585n 0m
29002.5n 0.533374m
29007.5n 9.43625m
29012.5n 37.0119m
29017.5n 36.9532m
29022.5n 9.42686m
29027.5n 0.610913m
29032.5n 0.00939866m
29085n 0m
29502.5n 0.213157m
29507.5n 4.15889m
29512.5n 16.4548m
29517.5n 16.4456m
29522.5n 4.13804m
29527.5n 0.289616m
29532.5n 0.00231693m
29585n 0m
30002.5n 0.714326m
30007.5n 10.8912m
30012.5n 43.0091m
30017.5n 42.922m
30022.5n 11.1368m
30027.5n 0.66968m
30032.5n 0.0200904m
30085n 0m
30585n 0m
31002.5n 0.146239m
31007.5n 2.16478m
31012.5n 8.71009m
31017.5n 8.74554m
31022.5n 2.25341m
31027.5n 0.137376m
31085n 0m
31502.5n 0.00664232m
31507.5n 0.21034m
31512.5n 0.892285m
31517.5n 0.896713m
31522.5n 0.197055m
31527.5n 0.0110705m
31585n 0m
32002.5n 0.0618121m
32007.5n 0.927181m
32012.5n 3.50563m
32017.5n 3.34227m
32022.5n 0.922766m
32027.5n 0.0706424m
32085n 0m
32502.5n 0.105342m
32507.5n 1.68986m
32512.5n 6.90868m
32517.5n 6.96794m
32522.5n 1.77106m
32527.5n 0.109731m
32532.5n 0.00219463m
32585n 0m
33002.5n 0.0872096m
33007.5n 2.0189m
33012.5n 7.86195m
33017.5n 7.60468m
33022.5n 1.93823m
33027.5n 0.111192m
33085n 0m
33502.5n 0.984777m
33507.5n 16.5331m
33512.5n 65.2631m
33517.5n 64.5874m
33522.5n 16.3972m
33527.5n 1.0301m
33532.5n 0.010301m
33585n 0m
34085n 0m
34502.5n 0.0513637m
34507.5n 0.846473m
34512.5n 3.15168m
34517.5n 3.13729m
34522.5n 0.971801m
34527.5n 0.0575273m
34585n 0m
35002.5n 1.33296m
35007.5n 23.8058m
35012.5n 92.4682m
35017.5n 92.2846m
35022.5n 23.4366m
35027.5n 1.42195m
35032.5n 0.0170406m
35085n 0m
35502.5n 0.103613m
35507.5n 1.49768m
35512.5n 5.83812m
35517.5n 5.99825m
35522.5n 1.51652m
35527.5n 0.114916m
35532.5n 0.00188387m
35585n 0m
36002.5n 0.195591m
36007.5n 3.40328m
36012.5n 13.2667m
36017.5n 13.2108m
36022.5n 3.25799m
36027.5n 0.195591m
36085n 0m
36502.5n 0.125885m
36507.5n 1.86051m
36512.5n 7.14583m
36517.5n 7.44388m
36522.5n 1.80497m
36527.5n 0.129588m
36585n 0m
37002.5n 0.228161m
37007.5n 4.30951m
37012.5n 16.2779m
37017.5n 16.7069m
37022.5n 4.18904m
37027.5n 0.257366m
37085n 0m
37502.5n 0.132438m
37507.5n 1.73803m
37512.5n 7.21336m
37517.5n 7.11902m
37522.5n 1.82511m
37527.5n 0.112482m
37585n 0m
38002.5n 0.235903m
38007.5n 4.68411m
38012.5n 17.4068m
38017.5n 17.6123m
38022.5n 4.44821m
38027.5n 0.282369m
38032.5n 0.00714859m
38085n 0m
38502.5n 0.323239m
38507.5n 5.07344m
38512.5n 19.9828m
38517.5n 20.3113m
38522.5n 4.95398m
38527.5n 0.288104m
38532.5n 0.0122971m
38585n 0m
39002.5n 0.0193014m
39007.5n 0.350935m
39012.5n 1.34057m
39017.5n 1.40725m
39022.5n 0.373745m
39027.5n 0.0175467m
39085n 0m
39502.5n 0.00701458m
39507.5n 0.170104m
39512.5n 0.706719m
39517.5n 0.690936m
39522.5n 0.171857m
39527.5n 0.00701458m
39585n 0m
40085n 0m
40502.5n 0.118415m
40507.5n 2.09317m
40512.5n 8.29778m
40517.5n 8.20201m
40522.5n 2.04789m
40527.5n 0.134088m
40585n 0m
41002.5n 0.0191332m
41007.5n 0.327003m
41012.5n 1.36367m
41017.5n 1.38976m
41022.5n 0.358312m
41027.5n 0.0191332m
41085n 0m
41502.5n 0.243595m
41507.5n 4.0845m
41512.5n 16.1596m
41517.5n 16.338m
41522.5n 4.08965m
41527.5n 0.24531m
41532.5n 0.00686182m
41585n 0m
42002.5n 0.258466m
42007.5n 4.67603m
42012.5n 17.7834m
42017.5n 18.0841m
42022.5n 4.5071m
42027.5n 0.295631m
42032.5n 0.00168932m
42085n 0m
42502.5n 0.0286699m
42507.5n 0.465464m
42512.5n 2.0558m
42517.5n 2.01532m
42522.5n 0.463777m
42527.5n 0.0269834m
42532.5n 0.00168646m
42585n 0m
43002.5n 0.239744m
43007.5n 3.83257m
43012.5n 14.9773m
43017.5n 15.0106m
43022.5n 3.96743m
43027.5n 0.256393m
43032.5n 0.00332978m
43085n 0m
43502.5n 0.0249317m
43507.5n 0.538525m
43512.5n 1.95797m
43517.5n 1.92639m
43522.5n 0.496973m
43527.5n 0.0415529m
43585n 0m
44002.5n 0.197372m
44007.5n 3.08887m
44012.5n 12.3555m
44017.5n 12.2354m
44022.5n 3.15137m
44027.5n 0.215464m
44032.5n 0.00328953m
44085n 0m
44502.5n 0.127382m
44507.5n 2.04301m
44512.5n 8.27164m
44517.5n 8.43822m
44522.5n 2.19325m
44527.5n 0.148612m
44532.5n 0.0048993m
44585n 0m
45002.5n 0.00652883m
45007.5n 0.176278m
45012.5n 0.634929m
45017.5n 0.641458m
45022.5n 0.164853m
45027.5n 0.00816104m
45085n 0m
45502.5n 0.168009m
45507.5n 2.9547m
45512.5n 12.1903m
45517.5n 12.1677m
45522.5n 3.03547m
45527.5n 0.161547m
45532.5n 0.00807736m
45585n 0m
46002.5n 0.179288m
46007.5n 2.6573m
46012.5n 10.7765m
46017.5n 10.634m
46022.5n 2.77256m
46027.5n 0.185691m
46032.5n 0.00160079m
46085n 0m
46502.5n 0.0908561m
46507.5n 1.30068m
46512.5n 4.95405m
46517.5n 5.0194m
46522.5n 1.30068m
46527.5n 0.0796983m
46532.5n 0.00318793m
46585n 0m
47002.5n 0.118851m
47007.5n 1.76692m
47012.5n 6.81573m
47017.5n 6.86485m
47022.5n 1.74791m
47027.5n 0.114097m
47032.5n 0.00316937m
47085n 0m
47502.5n 0.0110869m
47507.5n 0.150465m
47512.5n 0.601861m
47517.5n 0.639874m
47522.5n 0.166304m
47527.5n 0.0142546m
47585n 0m
