% Model,One_8LayerNanosphere_CUBE_PML.mph
% Version,COMSOL 5.5.0.352
% Date,"Jun 22 2020, 19:25"
% Dimension,3
% Nodes,4365
% Expressions,4
% Description,"Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm"
% Length unit,m
% X,Y,Z,ewfd.Ex (V/m) @ lambda0=400,ewfd.Ey (V/m) @ lambda0=400,ewfd.Ez (V/m) @ lambda0=400,ewfd.normE (V/m) @ lambda0=400
-2.4396191999999995E-7,5.023968842778524E-9,-1.5135471893970233E-7,-0.014607943413056145+0.06495386865454937i,-2.8669233592567726E-4+4.213370673063092E-4i,-0.005983021186760302-0.007051800385531879i,0.06723255741130442
-2.4300144E-7,-1.0414401582006221E-7,-6.953677896238376E-8,-0.037354530233893755+0.03806711426533926i,0.01143855720678179-0.010420722037844582i,0.023008416558287757+0.018600844144592708i,0.062932087314985
-2.4300144E-7,-4.496100442932453E-8,-9.676167587515382E-8,-0.06368660295228978+0.05271266976752833i,0.004883256013944904-0.006906339674365539i,0.01833466410546504+0.011461539271905505i,0.08588110072832635
-2.449224E-7,4.802399999999996E-8,-2.4012000000000006E-7,0,0,0,0
-2.4396192E-7,4.802399999999993E-8,-2.4011999999999996E-7,1.4058025388432316E-19+6.17875110515227E-18i,1.2496048389936477E-4+1.9134292013436635E-4i,-0.018583545110515114-0.017459962067802016i,0.02550214940012187
-2.4300144E-7,-4.8024000000000086E-8,-2.4012E-7,0,-2.9342206558366615E-4-4.2141528342556217E-4i,-0.03414307347269279-0.029741952131759435i,0.04528964479136199
-2.449224E-7,-2.4012000000000006E-7,-4.802399999999996E-8,0,0,0,0
-2.4396191999999995E-7,-2.4011999999999996E-7,-4.802399999999993E-8,-1.8797290389757486E-18-1.3082108489763238E-20i,0.0057942360424587435-0.0053804825214652414i,5.885229831490769E-5+2.0888932356667004E-4i,0.00792098842080149
-2.430014400000001E-7,-2.4012000000000006E-7,-1.44072E-7,-6.460471717891666E-20+5.377520597422052E-20i,0.019197376745800333-0.014731272204091032i,3.2730189277148E-5-3.577813640629121E-4i,0.024208514896092343
-2.4300144E-7,-1.6568949605519568E-7,-9.659616505669607E-8,-0.02926988769409174+0.030899224947363736i,0.01864919812987809-0.014074087517844077i,0.011484424671322371+0.00579973013497594i,0.05024951599596994
