% Model,One_8LayerNanosphere_CUBE_PML.mph
% Version,COMSOL 5.5.0.352
% Date,"Jun 22 2020, 19:40"
% Dimension,3
% Nodes,18450
% Expressions,4
% Description,"Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm"
% Length unit,m
% X,Y,Z,ewfd.Ex (V/m) @ lambda0=400,ewfd.Ey (V/m) @ lambda0=400,ewfd.Ez (V/m) @ lambda0=400,ewfd.normE (V/m) @ lambda0=400
-2.4300144E-7,2.272218070447868E-10,-1.2837272821537314E-9,0.009377221412018837-0.006485338041691605i,-2.5060527724426584E-5+8.836957025590633E-6i,0.02520849477777304+0.037428079657886255i,0.046554169634591476
-2.4300144E-7,-2.164114398102783E-9,-2.837951263510951E-9,0.008117333835003133-0.005190952858428964i,1.0291723158609667E-4-5.022225624763001E-5i,0.02556153425032889+0.03734347418780464i,0.04627882190204528
-2.4492239999999997E-7,2.241557890342677E-10,-8.548695579308952E-9,-0.002874015162439364+0.01309502974907789i,1.346535270387635E-15+2.103791362931028E-15i,-1.691707644651881E-15-2.6430796204829213E-15i,0.013406706056416926
-2.4396191999999995E-7,2.241557890342783E-10,-8.548695579308962E-9,-0.002754251728259028+0.012926511427512614i,-1.03119590658337E-5+1.0333552171570612E-5i,0.01955474088083482+0.012990421269862372i,0.02694933985527196
-2.4492239999999997E-7,1.1240857604195111E-8,-5.779030065078724E-10,-0.003161907471394171+0.005273723771140916i,0,0,0.006148969122703012
-2.4396191999999995E-7,1.1240857604195115E-8,-5.77903006507883E-10,-0.0014301768243951813+0.005205911146153598i,-3.114318910666159E-4-2.3466823868832154E-6i,0.01937863223202289+0.012966684248577137i,0.023946201791515784
-2.4492239999999997E-7,1.5284260239741356E-8,1.2374103323571514E-9,-0.0032176646696976527+0.0034736388470454974i,0,0,0.0047349269018987054
-2.4396191999999995E-7,1.5284260239741363E-8,1.237410332357146E-9,-0.001139926049066944+0.003428937510920866i,-4.0298219560123483E-4-3.501536961370759E-5i,0.01927747274501509+0.01292576860962192i,0.02350376764525107
-2.4492239999999997E-7,2.048684273436093E-8,3.5222685850608928E-9,-0.0032818575581425374+0.0012113721585275058i,2.5033945114962114E-16-5.432700280666012E-16i,7.025837063076707E-17-1.5247004341188619E-16i,0.0034982869434042837
-2.4396191999999995E-7,2.0486842734360932E-8,3.5222685850608874E-9,-7.836306995394295E-4+0.0011957258943901205i,-5.000527318108637E-4-1.0158036065743356E-4i,0.01913161718159261+0.01287004427169046i,0.023118405971099303
-2.4492239999999997E-7,5.542091258102344E-9,-1.2674109079833752E-8,-0.002699863218455123+0.017062242413396607i,0,0,0.017274529735187494
-2.4492239999999997E-7,8.433283928009245E-9,-7.076465859095354E-9,-0.0029301263890065717+0.01164074445080637i,0,0,0.012003856547982068
-2.4396191999999995E-7,5.542091258102344E-9,-1.2674109079833747E-8,-0.003448366697964656+0.016833972833315457i,-2.045370768089358E-4+7.38795633378698E-5i,0.01953479372945837+0.012937259506926249i,0.029063654198139045
-2.4396191999999995E-7,8.43328392800925E-9,-7.076465859095359E-9,-0.0025118434741276878+0.011499486164681532i,-2.75984225287677E-4+5.9248135384848635E-5i,0.01951996105008218+0.012988617303967206i,0.026245436691180617
-2.4300144E-7,1.8006746454764673E-9,-3.563554226939649E-9,0.007526572738597605-0.0045883372317084i,-1.049420253335159E-4+5.2965017270905496E-5i,0.025712292490430857+0.037290054560073706i,0.04615551237875662
-2.4300144E-7,5.5052679589713525E-9,-6.463087824660419E-10,0.009879665719354551-0.006997214257182326i,-2.8906854468543273E-4+1.1731378425950378E-4i,0.02506581102276272+0.03745823340332165i,0.04668029890031431
-2.4300144E-7,7.694657180186583E-9,4.461763622984444E-9,0.013889843972981384-0.011238024942869148i,-3.552396670986077E-4+7.945555078132619E-5i,0.023816595681799613+0.03763740432148761i,0.04800150631282857
-2.4492239999999997E-7,6.485198830296304E-8,1.8977773685881538E-7,1.4537272657070817E-5-0.042976123778037584i,4.117733271409837E-16+4.120519975354677E-16i,8.319206837688359E-16+8.324836917391065E-16i,0.042976126236755036
-2.4492239999999997E-7,9.3822678955798E-8,2.4012000000000006E-7,0,0,0,0
-2.4396191999999995E-7,6.485198830296304E-8,1.8977773685881538E-7,0.006044662162560557-0.04486261919499545i,0.001968683935477757-0.0025042836547859303i,-0.011083033448396047+7.573807143759262E-4i,0.04672042696362266
-2.4396191999999995E-7,9.382267895579791E-8,2.4012E-7,-4.3427384193442284E-18-4.061962393116897E-18i,-5.702521347492745E-6-2.1299943822462544E-5i,-0.012694409436384876+4.4825917134405413E-4i,0.012702417746509737
-2.4492239999999997E-7,4.2134091832735916E-9,2.8629769219671187E-8,-0.003724052157004884-0.023199336036874726i,-4.4718910363510205E-15-3.2347840764179756E-15i,-9.262132080672978E-16-6.699849599351751E-16i,0.023496334969946422
